"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Germany","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2207135.246","1105368","Weight in kilograms","1105368"
"Germany","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4296850.125","3257157.212","Weight in kilograms","3257157.212"
"Germany","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3502656.671","2347316.741","Weight in kilograms","2347316.741"
"Germany","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1688672.995","1073653.843","Weight in kilograms","1073653.843"
"Greece","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","846.422","189","Weight in kilograms","189"
"Greece","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","139916.075","95380","Weight in kilograms","95380"
"Greece","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","214006.848","252943","Weight in kilograms","252943"
"Greece","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7434.523","2030","Weight in kilograms","2030"
"Greece","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","269640.473","471588","Weight in kilograms","471588"
"Guatemala","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","70","59.85","Weight in kilograms","59.85"
"Honduras","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","103.5","4.93","Weight in kilograms","4.93"
"Hungary","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","79638","79014","Weight in kilograms","79014"
"Hungary","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","269981","273876","Weight in kilograms","273876"
"Hungary","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","316","274","Weight in kilograms","274"
"Hungary","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","247047","236449","Weight in kilograms","236449"
"Hungary","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","695","667","Weight in kilograms","667"
"Hungary","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","558250","1035019.8","Weight in kilograms","1035021"
"Iceland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","66.013","3.776","Weight in kilograms","3.776"
"Iceland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","496.444","25.19","Weight in kilograms","25.19"
"Iceland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1281.875","389.874","Weight in kilograms","389.874"
"India","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7692267.392","171263684.329","Weight in kilograms","171263684.329"
"India","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2844309.312","116758381.852","Weight in kilograms","116758381.852"
"India","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","2204019.328","2611058.483","Weight in kilograms","2611058.483"
"India","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","6358457.297","55356586.34","Weight in kilograms","55356586.34"
"India","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4807568.031","34757802.855","Weight in kilograms","34757802.855"
"India","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7383593.484","11435903.065","Weight in kilograms","11435903.065"
"Indonesia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","79367","148247","Weight in kilograms","148247"
"Indonesia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","207796288.491","245495546.82","Weight in kilograms","245495546.82"
"Indonesia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","95810","134596","Weight in kilograms","134596"
"Indonesia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","177091642","170968756.475","Weight in kilograms","170968756.475"
"Iran","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7365","21390","Weight in kilograms","21390"
"Ireland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","127226.246","115759","Weight in kilograms","115759"
"Ireland","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","12539.378","34327.705","Weight in kilograms","34327.705"
"Ireland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1745.168","985","Weight in kilograms","985"
"Ireland","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","13558.027","9115","Weight in kilograms","9115"
"Ireland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","6797.429","7400","Weight in kilograms","7400"
"Ireland","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","262330.209","112732.453","Weight in kilograms","112732.453"
"Israel","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","481000","433956.403","Weight in kilograms","433956.403"
"Israel","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","283000","286587.555","Weight in kilograms","286587.555"
"Israel","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","394000","429899.026","Weight in kilograms","429899.026"
"Italy","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7396.988","713","Weight in kilograms","713"
"Italy","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","718300.145","762949","Weight in kilograms","762949"
"Italy","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","6159.987","5497","Weight in kilograms","5497"
"Italy","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","97877.517","92308","Weight in kilograms","92308"
"Italy","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5192.583","","No Quantity",""
"Italy","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","284428.435","329029","Weight in kilograms","329029"
"Jamaica","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","819.49","47","Weight in kilograms","47"
"Jamaica","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","117.48","29","Weight in kilograms","29"
"Japan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","21794.811","10000","Weight in kilograms","10000"
"Japan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","19826512.518","24705483.969","Weight in kilograms","24705483.969"
"Japan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","48501.234","20654.744","Weight in kilograms","20654.744"
"Japan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","21438328.536","25046000","Weight in kilograms","25046000"
"Japan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","51825.826","20657.775","Weight in kilograms","20657.775"
"Japan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","27456562.174","29498000","Weight in kilograms","29498000"
"Jordan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","408124.745","413298.491","Weight in kilograms","413298.491"
"Jordan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1408.451","1346.304","Weight in kilograms","1346.304"
"Jordan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","144209.859","157349.436","Weight in kilograms","157349.436"
"Kazakhstan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1934.03","34140","Weight in kilograms","34140"
"Kazakhstan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","37673.56","118664","Weight in kilograms","118664"
"Kazakhstan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","28892.84","83800","Weight in kilograms","83800"
"Kazakhstan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","84672.18","192927.48","Weight in kilograms","192927.48"
"Kenya","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","18694.292","16392","Weight in kilograms","16392"
"Kuwait","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","289545.97","293216.508","Weight in kilograms","293216.508"
"Kuwait","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","560525.956","611597.874","Weight in kilograms","611597.874"
"Kyrgyzstan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","29805","82800","Weight in kilograms","82800"
"Kyrgyzstan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","57902","38285.951","Weight in kilograms","38285.951"
"Lao People's Dem. Rep.","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","180","1000","Weight in kilograms","1000"
"Lao People's Dem. Rep.","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2910","21300","Weight in kilograms","21300"
"Latvia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","102226.505","75278","Weight in kilograms","75278"
"Latvia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","28538.043","31026","Weight in kilograms","31026"
"Latvia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","51628.414","47932","Weight in kilograms","47932"
"Latvia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","163602.43","142054","Weight in kilograms","142054"
"Latvia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2069068.911","2325820","Weight in kilograms","2325820"
"Latvia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","62047.731","70286","Weight in kilograms","70286"
"Liberia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","833.61","740","Weight in kilograms","740"
"Lithuania","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","23381","10815.09","Weight in kilograms","10815.09"
"Lithuania","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","147066","117480","Weight in kilograms","117480"
"Lithuania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","29882","14149.4","Weight in kilograms","14149.4"
"Lithuania","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","155015","120695","Weight in kilograms","120695"
"Lithuania","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","238792","123158","Weight in kilograms","123158"
"Lithuania","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","143154","60310","Weight in kilograms","60310"
"Luxembourg","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","9929.044","2560","Weight in kilograms","2560"
"Luxembourg","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","28509.598","13442.58","Weight in kilograms","13442.58"
"Luxembourg","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","5223.825","1365","Weight in kilograms","1365"
"Luxembourg","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","47569.786","19004.743","Weight in kilograms","19004.743"
