Country or Area,Year,Trade (USD),Weight (kg),Quantity Name,Quantity
Thailand,2023,146335.033,100827,Weight in kilograms,100827
Thailand,2024,823.06,92,Weight in kilograms,92
Türkiye,2022,3118323,2898772,Weight in kilograms,2898772
Türkiye,2023,3062954,3370426,Weight in kilograms,3370426
Türkiye,2024,2987829,2706080,Weight in kilograms,2706080
USA,2022,4818987,2991000,Weight in kilograms,2991000
USA,2023,4128564,2764000,Weight in kilograms,2764000
USA,2024,4409750,3132000,Weight in kilograms,3132000
Uganda,2023,40,20,Weight in kilograms,20
Ukraine,2023,676637.09,440011.596,Weight in kilograms,440011.596
Ukraine,2024,1155436.31,653618,Weight in kilograms,653618
United Arab Emirates,2022,461597.463,670716,Weight in kilograms,670716
United Arab Emirates,2023,1612957.109,2685888.7,Weight in kilograms,2685888.7
United Kingdom,2022,695143.357,442523,Weight in kilograms,442523
United Kingdom,2023,754224.551,638762.751,Weight in kilograms,638762.751
United Kingdom,2024,1104540.909,,No Quantity,
United Rep. of Tanzania,2023,371.61,112,Weight in kilograms,112
Uzbekistan,2023,300624,199840,Weight in kilograms,199840
Uzbekistan,2024,1337378,988410,Weight in kilograms,988410
Viet Nam,2022,5513016.2,6015330.691,Weight in kilograms,6015330.691
Viet Nam,2023,1990250,2121510.903,Weight in kilograms,2121510.903
Zambia,2023,1457.199,2700,Weight in kilograms,2700
Zimbabwe,2023,349.93,739,Weight in kilograms,739
Zimbabwe,2024,281.569,210,Weight in kilograms,210
